LS,Level,Section,Row,Seat,Seat Status Code,Price Level Code,Item Price
S:8:10:3,S,8,10,3,K,18,0
S:8:10:2,S,8,10,2,K,18,0
S:8:10:1,S,8,10,1,K,18,0
S:6:10:14,S,6,10,14,s,18,0
S:6:10:13,S,6,10,13,s,18,0
S:6:10:12,S,6,10,12,s,18,0
S:6:10:11,S,6,10,11,s,18,0
S:6:10:10,S,6,10,10,s,18,0
S:6:10:9,S,6,10,9,s,18,0
S:6:10:8,S,6,10,8,s,18,0
S:6:10:7,S,6,10,7,s,18,0
S:6:10:6,S,6,10,6,s,18,0
S:6:10:5,S,6,10,5,s,18,0
S:6:10:4,S,6,10,4,s,18,0
S:6:10:3,S,6,10,3,s,18,0
S:6:10:2,S,6,10,2,s,18,0
S:6:10:1,S,6,10,1,s,18,0
S:10:10:12,S,10,10,12,K,18,0
S:10:10:11,S,10,10,11,K,18,0
S:10:10:10,S,10,10,10,K,18,0
S:10:10:9,S,10,10,9,K,18,0
S:10:10:8,S,10,10,8,K,18,0
S:10:10:7,S,10,10,7,K,18,0
S:10:10:6,S,10,10,6,K,18,0
S:10:10:5,S,10,10,5,K,18,0
S:10:10:4,S,10,10,4,K,18,0
S:10:10:3,S,10,10,3,K,18,0
S:10:10:2,S,10,10,2,K,18,0
S:10:10:1,S,10,10,1,K,18,0
S:8:1:15,S,8,1,15,K,18,0
S:8:1:14,S,8,1,14,K,18,0
S:8:1:13,S,8,1,13,K,18,0
S:8:1:12,S,8,1,12,K,18,0
S:8:1:11,S,8,1,11,K,18,0
S:8:1:10,S,8,1,10,K,18,0
S:8:1:9,S,8,1,9,K,18,0
S:8:1:8,S,8,1,8,K,18,0
S:8:1:7,S,8,1,7,K,18,0
S:8:1:6,S,8,1,6,K,18,0
S:6:1:15,S,6,1,15,s,18,0
S:6:1:14,S,6,1,14,s,18,0
S:6:1:13,S,6,1,13,s,18,0
S:6:1:12,S,6,1,12,s,18,0
S:6:1:11,S,6,1,11,s,18,0
S:6:1:10,S,6,1,10,s,18,0
S:6:1:9,S,6,1,9,s,18,0
S:6:1:8,S,6,1,8,s,18,0
S:6:1:7,S,6,1,7,s,18,0
S:6:1:6,S,6,1,6,s,18,0
S:6:1:5,S,6,1,5,s,18,0
S:6:1:4,S,6,1,4,s,18,0
S:6:1:3,S,6,1,3,s,18,0
S:6:1:2,S,6,1,2,s,18,0
S:6:1:1,S,6,1,1,s,18,0
S:11:1:6,S,11,1,6,K,18,0
S:11:1:5,S,11,1,5,K,18,0
S:11:1:4,S,11,1,4,K,18,0
S:11:1:3,S,11,1,3,K,18,0
S:11:1:2,S,11,1,2,K,18,0
